Id,C1x1FechaPeriodico,fuente,num_reportajes,C1x2FechaEvento,C1x3EPLargo[Si],id_EPLargo,Duración (en días),dias_cobertura,C1x3x1EPLargoFInicio,C1x3x2EPLargoFTermin,Numero de Actores,Numero de Campos,C3x1CMS 1. Afectados y damnificados,C3x1CMS 2. Campesinos,C3x1CMS 3. Justicia,C3x1CMS 4. Democracia electoral,C3x1CMS 5. Consumo,C3x1CMS 6. Contra_la_Privatización,C3x1CMS 7. Derechos_humanos,C3x1CMS 9. Desempleo,C3x1CMS 11. Ecologista,C3x1CMS 14. Sindicalismo privado,C3x1CMS 15. Sindicalismo público,C3x1CMS 16. Estudiantil,C3x1CMS 17. Religioso,C3x1CMS 18. Indígenista,C3x1CMS 19. Jubilados,C3x1CMS 20. LGBTTI,C3x1CMS 21. Feminismo,C3x1CMS 23. Obreros_sindicalizados,C3x1CMS 26. Pobladores_urbanos,C3x1CMS 24. Opositores_a_reformas_estructurales,C3x1CMS 25. Convergencia_de_OMS,C3x1CMS 27. Trabajadores_asalariados,Numero de Demandas,Ayotzinapa,Reforma educativa,C6x1LugarEstado,C6x2Municipio,C6x3Lugar,Geolocalización,exactitud,C7LugarAgravio[Local],C7x1AgravioNOlocal,C7x1x1NolocalEstado,C8AlcanceT,C9TipoRepertorio,Numero de Repertorios,C9x1RPp 1. Acciones artísticas y simbólicas,C9x1RPp 2. Acciones dramáticas en tono de comedia,C9x1RPp 3. Acciones dramáticas en tono de tragedia,C9x1RPp 4. Bloqueo,C9x1RPp 5. Boicot,C9x1RPp 6. Brigadeo,C9x1RPp 7. Cadena Humana,C9x1RPp 8. Campamento,C9x1RPp 9. Caravana,C9x1RPp 10. Ciberactivismo,C9x1RPp 11. Cierre de negocios,C9x1RPp 12. Desnudos,C9x1RPp 13. Desobediencia civil,C9x1RPp 14. Hackeo,C9x1RPp 16. Huelga de hambre,C9x1RPp 15. Huelga,C9x1RPp 18. Marcha,C9x1RPp 19. Marcha conmemorativa,C9x1RPp 20. Mitin,C9x1RPp 21. Paro de labores,C9x1RPp 22. Plantón,C9x1RPp 17. Indeterminado,C9x1RPp 23. Retención pacífica devehículos,C9x1RPp 24. Rodada,C9x1RPp 25. Toma de casetas,C9x1RPp 26. Toma de instalaciones,C9x1RPp 27. Otro,C9x2RPv 1. Agresiones contra civiles,C9x2RPv 2. Agresiones contra uniformados,C9x2RPv 3. Ataques a civiles,C9x2RPv 4. Ataques a uniformados,C9x2RPv 5. Autoagresiones,C9x2RPv 6. Destrucción de bienes de los partidos políticos,C9x2RPv 7. Destrucción de bienes privados,C9x2RPv 8. Destrucción de bienes públicos,C9x2RPv 9. Destrucción de infraestructura,C9x2RPv 10. Disparos contra civiles,C9x2RPv 11. Disparos contra uniformados,C9x2RPv 12. Exhibición de armas blancas,C9x2RPv 13. Exhibición de armas de fuego,C9x2RPv 15. Petardos y molotov contra civiles,C9x2RPv 16. Petardos y molotov contra uniformados,C9x2RPv 17. Proyectiles contra civiles,C9x2RPv 18. Proyectiles contra uniformados,C9x2RPv 19. Motines,C9x2RPv 14. Indeterminado,C9x2RPv 20. Retención de civiles,C9x2RPv 21. Retención de funcionarios,C9x2RPv 22. Retención de uniformados,C9x2RPv 23. Retención violenta de vehículos,C9x2RPv 24. Toma u ocupación violenta,C9x2RPv 25. Otro,C10 Se abrió interlocución,C10 Se atendieron demandas,C10 Se atendieron demandas parcialmente,C10 Intervino fuerza pública,C10 Violencia de no uniformados,C10 Bloqueos,C10 Encapsulamientos,C10 Desalojos (con o sin violencia),C10 Agresiones de parte de uniformados,C10x1x1TipoViolUnif,C10x1x2 Gas lacrimógeno y/o pimienta,C10x1x2 Balas de goma,C10x1x2 Disparos,C10x1x2 Toletazos,C10x1x2 Otros,C10x1x3 ¿Hubo Protestantes detenidos?,C10x1x3 ¿Hubo Uniformados detenidos?,C10x1x3 ¿Hubo Transeúntes detenidos?,C10x1x3 ¿Hubo Protestantes retenidos contra su voluntad?,C10x1x3 ¿Hubo Uniformados retenidos contra su voluntad?,C10x1x3 ¿Hubo Transeúntes retenidos contra su voluntad?,C10x1x3 ¿Hubo Protestantes heridos?,C10x1x3 ¿Hubo Uniformados heridos?,C10x1x3 ¿Hubo Transeúntes heridos?,C10x1x3 ¿Hubo Protestantes muertos?,C10x1x3 ¿Hubo Uniformados muertos?,C10x1x3 ¿Hubo Transeúntes muertos?,C10x1x4DestruccionB[BPub],C10x1x4DestruccionB[BPri]
C-001,17/10/2012,http://www.jornada.unam.mx/2012/10/17/estados/037n1est,1,16/10/2012,No,,1,1,,,3,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Ciudad de México,Cuauhtémoc,Sede nacional del PRI,"19.4384485,-99.1511504,15z",sí,No,Asuntos de otro estado/municipio,Michoacán,Local,Pacífico y Violento,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-002,21/10/2012,http://www.jornada.unam.mx/2012/10/21/politica/003n1pol,1,20/10/2012,Sí,L_01,20,5,15/10/2012,03/11/2012,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Coahuila,Saltillo,,"25.4305273,-101.0532635,12z",municipal,No,Asuntos nacionales,,Nacional,Pacífico,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-003,23/10/2012,http://www.jornada.unam.mx/2012/10/23/politica/012n1pol,1,22/10/2012,Sí,L_01,20,5,15/10/2012,03/11/2012,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,San Luis Potosí,San Luis Potosí,,"22.1128637,-101.0261095,12z",municipal,No,Asuntos nacionales,,Local,Pacífico,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-004,25/10/2012,http://www.jornada.unam.mx/2012/10/25/politica/021n1pol,1,24/10/2012,Sí,L_02,57,1,05/07/2012,30/08/2012,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,Durango,Tlahualilo,Mina La Platosa,"25.8360337,-103.8368886,17z",sí,Sí,,,Local,Pacífico,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-005,27/10/2012,http://www.jornada.unam.mx/2012/10/27/politica/012n1pol,1,26/10/2012,Sí,L_01,20,5,15/10/2012,03/11/2012,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Estado de México,Tultitlán,puente vehicular San Antonio,"19.6428076,-99.1787573,67m",sí,No,Asuntos nacionales,,Local,Pacífico,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-006,28/10/2012,http://www.jornada.unam.mx/2012/10/28/politica/003n1pol,1,27/10/2012,Sí,L_01,20,5,15/10/2012,03/11/2012,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Ciudad de México,Cuauhtémoc,,"19.4328466,-99.170782,14z",municipal,No,Asuntos nacionales,,Local,Pacífico,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-007,29/10/2012,http://www.jornada.unam.mx/2012/10/29/opinion/012n1pol,1,28/10/2012,Sí,L_01,20,5,15/10/2012,03/11/2012,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Ciudad de México,Cuauhtémoc,Zócalo,"19.4323872,-99.1335062,19z",sí,No,Asuntos nacionales,,Nacional,Pacífico,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-008,29/10/2012,http://www.jornada.unam.mx/2012/10/29/politica/013n1pol,1,28/10/2012,No,,1,1,,,9,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,Puebla,Zapotitlán de Méndez,,"20.0027457,-97.7170347,17z",municipal,Sí,,,Local,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-009,31/10/2012,http://www.jornada.unam.mx/2012/10/31/sociedad/041n3soc,1,30/10/2012,No,,1,1,,,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,Oaxaca,Unión Hidalgo,San Dionisio del Mar,"16.4653879,-94.8310674,17z",sí,Sí,,,Local,Pacífico,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-010,01/11/2012,http://www.jornada.unam.mx/2012/11/01/estados/037n2est,1,31/10/2012,No,,1,1,,,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Ciudad de México,Miguel Hidalgo,Embajada de Canadá,"19.4289287,-99.1882916,17z",sí,No,Asuntos nacionales,,Local,Pacífico,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-011,01/11/2012,http://www.jornada.unam.mx/2012/11/01/politica/015n1pol,1,31/10/2012,No,,1,1,,,15,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Ciudad de México,Cuauhtémoc,Monumento a la Revolución,"19.4362136,-99.1568185,17z",sí,No,Asuntos nacionales,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-012,06/11/2012,http://www.jornada.unam.mx/2012/11/06/sociedad/042n2soc,1,05/11/2012,No,,1,1,,,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,Ciudad de México,Benito Juárez,SAGARPA,"19.3731869,-99.1625543,17z",sí,No,Asuntos nacionales,,Local,Pacífico,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-013,07/11/2012,http://www.jornada.unam.mx/2012/11/07/estados/037n2est,1,06/11/2012,No,,1,1,,,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Oaxaca,Juchitán de Zaragoza,agencia municipal en comunidad Álvaro Obregón,"16.2985318,-95.0925292,16z",sí,Sí,,,Local,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-014,09/11/2012,http://www.jornada.unam.mx/2012/11/09/politica/005n2pol,1,08/11/2012,No,,1,1,,,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Ciudad de México,Venustiano Carranza,Palacio Legislativo de San Lázaro,"19.430283,-99.1196887,17z",sí,No,Asuntos nacionales,,Local,Pacífico y Violento,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-015,10/11/2012,http://www.jornada.unam.mx/2012/11/10/politica/009n1pol,1,09/11/2012,No,,1,1,,,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Ciudad de México,Cuauhtémoc,Palacio de Minería,"19.4358138,-99.1416986,17z",sí,No,Asuntos nacionales,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-016,14/11/2012,http://www.jornada.unam.mx/2012/11/14/politica/007n1pol,1,13/11/2012,No,,1,1,,,11,4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,Ciudad de México,Cuauhtémoc,Senado de la República,"19.4326011,-99.1598017,17z",sí,No,Asuntos nacionales,,Local,Pacífico,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-017,16/11/2012,http://www.jornada.unam.mx/2012/11/16/estados/037n1est,1,15/11/2012,No,,1,1,,,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,5,0,1,Oaxaca,Oaxaca de Juárez,Zócalo de Oaxaca,"17.0605312,-96.7274808,17z",sí,Sí,,,Local,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-018,20/11/2012,http://www.jornada.unam.mx/2012/11/20/estados/029n1est,1,19/11/2012,No,,1,1,,,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Oaxaca,Juchitán de Zaragoza,Alcaldía,"16.4331211,-95.0238479,17z",sí,Sí,,,Local,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-019,21/11/2012,http://www.jornada.unam.mx/2012/11/21/politica/017n1pol,1,20/11/2012,No,,1,1,,,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,Ciudad de México,Venustiano Carranza,Aeropuerto Internacional de la Ciudad de México.,"19.4360812,-99.074097,17z",sí,No,Asuntos nacionales,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-020,21/11/2012,http://www.jornada.unam.mx/2012/11/21/politica/017n2pol,1,20/11/2012,No,,1,1,,,8,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Puebla,Puebla,,"19.0509656,-98.1770062,17z",municipal,No,Asuntos nacionales,,Regional,Pacífico,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-021,21/11/2012,http://www.jornada.unam.mx/2012/11/21/politica/017n1pol,1,20/11/2012,No,,1,1,,,6,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,Ciudad de México,Cuauhtémoc,Monumento a la Revolución,"19.4362136,-99.1568185,17z",sí,No,Asuntos nacionales,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-022,24/11/2012,http://www.jornada.unam.mx/2012/11/24/politica/014n3pol,1,23/11/2012,No,,1,1,,,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Coahuila,Saltillo,Teatro de la Ciudad,"25.4627635,-101.0293598,17z",sí,Sí,,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-023,28/11/2012,http://www.jornada.unam.mx/2012/11/28/estados/036n2est,1,27/11/2012,No,,1,1,,,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Guerrero,Acapulco de Juárez,Av. Costera Miguel Alemán,"16.8583635,-99.8899792,17z",sí,Sí,,,Local,Pacífico,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-024,02/12/2012,http://www.jornada.unam.mx/2012/12/02/politica/008n3pol|http://www.jornada.unam.mx/2012/12/02/politica/008n2pol,2,01/12/2012,No,,1,1,,,5,4,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,Ciudad de México,Venustiano Carranza,Palacio Legislativo de San Lázaro,"19.430283,-99.1196887,17z",sí,No,Asuntos nacionales,,Local,Pacífico y Violento,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,0,1,Brutal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
C-025,23/12/2012,http://www.jornada.unam.mx/2012/12/23/sociedad/033n1soc,1,22/12/2012,No,,1,1,,,6,6,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,Puebla,Zautla,mina La Lupe,"19.7141719,-97.7411063,12z",municipal,Sí,,,Local,Pacífico,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-026,29/12/2012,http://www.jornada.unam.mx/2012/12/29/estados/027n1est,1,28/12/2012,No,,1,1,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,Tlaxcala,Tlaxcala,Congreso,"19.3189515,-98.2423049,17z",sí,Sí,,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-027,30/12/2012,http://www.jornada.unam.mx/2012/12/30/estados/024n2est,1,29/12/2012,Sí,L_03,2,1,28/12/2012,29/12/2012,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Tlaxcala,Tlaxcala,,"19.3165631,-98.2460645,15z",municipal,Sí,,,Local,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-028,11/01/2013,http://www.jornada.unam.mx/2013/01/11/opinion/018n1pol,1,10/01/2013,No,,1,1,,,10,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,Ciudad de México,Venustiano Carranza,Suprema Corte de Justicia de la Nación,"19.4311891,-99.1339101,17z",sí,No,Asuntos nacionales,,Local,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-029,22/01/2013,http://www.jornada.unam.mx/2013/01/22/estados/033n1est,1,21/01/2013,No,,1,1,,,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Campeche,Champotón,Ingenio La Joya,"19.4817696,-90.6768603,17z",sí,No,Asuntos nacionales,,Nacional,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-030,22/01/2013,http://www.jornada.unam.mx/2013/01/22/estados/033n1est,1,21/01/2013,No,,1,1,,,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Morelos,Cuautla,Factoría de Cuautla,"18.8317329,-98.9695181,13z",municipal,No,Asuntos nacionales,,Local,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-031,22/01/2013,http://www.jornada.unam.mx/2013/01/22/estados/033n1est,1,21/01/2013,No,,1,1,,,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Morelos,Zacatepec,Ingenio Emiliano Zapata,"18.6673813,-99.1969131,17z",sí,No,Asuntos nacionales,,Nacional,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-032,22/01/2013,http://www.jornada.unam.mx/2013/01/22/estados/033n1est,1,21/01/2013,No,,1,1,,,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nayarit,Tepic,Ingenios Menchaca y Puga,"21.5014486,-104.8896089,17z",sí,No,Asuntos nacionales,,Nacional,Pacífico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-033,22/01/2013,http://www.jornada.unam.mx/2013/01/22/estados/033n1est,1,21/01/2013,No,,1,1,,,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Veracruz,Córdoba,Ingenio San Miguelito,"18.8639883,-96.9196869,17z",sí,No,Asuntos nacionales,,Nacional,Pacífico,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-034,23/01/2013,http://www.jornada.unam.mx/2013/01/23/politica/022n3pol,1,22/01/2013,No,,1,1,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Tabasco,Centro,Congreso,"17.9870321,-92.9221272,17z",sí,No,Asuntos nacionales,,Nacional,Pacífico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
